Customer ID,Gender,Age,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Avg Monthly GB Streaming Movies,Avg Monthly GB Streaming Music,Avg Monthly GB Streaming TV,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Score,Churn Category,Churn Reason
1732-VHUBQ,Female,73.0,YES,no,0.0,united states,California,Escondido,92027.0,33.141265,-116.967221,48690.0,Q3,Yes,1.0,47.0,,YES,26.95,No,Fiber Optic,26.0,no,No,NO,No,no,No,No,0,0,0,Yes,MONTH-TO-MONTH,No,bank withdrawal,70.55,3309.25,26.99,0.0,1266.65,4548.91,churned,82.0,Competitor,Competitor made better offer
6292-TOSSS,Male,64.0,No,No,0.0,United States,CALIFORNIA,Mt Baldy,91759.0,34.231318,-117.662032,47.0,Q3,No,0.0,50.0,Offer B,YES,47.16,Yes,NONE,0.0,No,No,No,No,No,no,No,0,0,0,no,two year,no,Bank Withdrawal,24.9,1195.25,0.0,0.0,2358.0,3553.25,Stayed,,,
2546-KZAAT,male,28.0,Yes,No,0.0,United States,CALIFORNIA,san diego,92119.0,32.802959,-117.027095,21866.0,Q3,Yes,9.0,52.0,,Yes,10.4,NO,DSL,85.0,Yes,yes,No,No,YES,Yes,yes,0,0,0,Yes,ONE YEAR,YES,Credit Card,75.4,3865.45,0.0,0.0,540.8000000000001,4406.25,Stayed,59.0,,
4946-EDSEW,Female,35.0,YES,Yes,3.0,United States,CALIFORNIA,Compton,90221.0,33.885811,-118.206459,51387.0,Q3,Yes,1.0,11.0,Offer D,YES,29.01,NO,NONE,0.0,No,no,NO,No,No,No,no,0,0,0,No,MONTH-TO-MONTH,Yes,credit card,19.25,180.3,0.0,0.0,319.11,499.41,Churned,69.0,Attitude,Attitude of support person
9061-TIHDA,Male,67.0,Yes,no,0.0,United States,California,Murrieta,92563.0,33.581045,-117.14719,18311.0,Q3,Yes,1.0,13.0,NONE,Yes,31.7,Yes,Cable,6.0,No,No,no,No,Yes,Yes,Yes,0,1,0,Yes,Month-to-Month,Yes,Bank Withdrawal,,1233.65,48.09,0.0,412.1,1597.66,Churned,90.0,Competitor,Competitor had better devices
9576-ANLXO,FEMALE,30.0,no,No,0.0,UNITED STATES,CALIFORNIA,earlimart,93219.0,35.858054,-119.305858,9318.0,q3,No,0.0,3.0,,Yes,1649.26,No,FIBER OPTIC,30.0,NO,no,NO,No,No,No,No,0,0,0,YES,MONTH-TO-MONTH,Yes,Bank Withdrawal,69.55,222.3,0.0,0.0,78.78,301.08000000000004,CHURNED,87.0,Competitor,Competitor offered higher download speeds
9637-CDTKZ,Male,64.0,Yes,No,0.0,United States,California,Fallbrook,92028.0,33.362575,-117.299644,42239.0,Q3,Yes,6.0,72.0,none,Yes,23.27,Yes,Fiber Optic,9047.0,yes,YES,Yes,Yes,Yes,Yes,Yes,1,0,2,Yes,two year,Yes,Credit Card,,8086.4,0.0,0.0,1675.44,9761.84,Stayed,61.0,,
2608-BHKFN,FEMALE,46.0,NO,No,0.0,UNITED STATES,California,Berkeley,94703.0,37.863843,-122.275684,19763.0,Q3,No,0.0,4.0,,Yes,12.58,NO,Fiber Optic,19.0,No,no,No,No,No,No,no,0,0,0,yes,Month-to-Month,YES,Credit Card,70.05,266.9,0.0,0.0,50.32,317.22,CHURNED,89.0,Competitor,Competitor had better devices
1925-LFCZZ,Male,71.0,No,NO,0.0,united states,california,Potrero,91963.0,32.619465,-116.593605,905.0,Q3,No,0.0,55.0,,No,0.0,NO,DSL,23.0,NO,NO,yes,No,Yes,Yes,No,0,0,3,Yes,One Year,Yes,BANK WITHDRAWAL,50.05,2743.45,0.0,0.0,0.0,2743.45,Stayed,70.0,,
2108-xwmpy,MALE,29.0,no,No,0.0,United States,California,cabazon,92230.0,33.929812,-116.76058,2355.0,q3,no,0.0,3.0,none,No,0.0,no,DSL,85.0,Yes,YES,No,No,NO,No,No,0,0,0,Yes,MONTH-TO-MONTH,yes,Credit Card,35.45,106.85,0.0,0.0,0.0,106.85,CHURNED,70.0,Other,Moved
